City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
447,ginda,30.6945,78.4932,275.64,78,83,3.87,IN,1675100262
448,tura,25.5198,90.2201,290.93,55,1,1.36,IN,1675100263
449,altea,38.5989,-0.0514,284.47,67,1,3.14,ES,1675100263
450,plettenberg bay,-34.0527,23.3716,292.8,76,49,8.49,ZA,1675100264
451,terney,45.0503,136.6092,256.56,79,1,5.23,RU,1675100264
452,kenai,60.5544,-151.2583,273.2,94,100,4.63,US,1675100040
453,northampton,40.8754,-75.2499,284.16,65,95,3.31,US,1675100265
454,dwarka,22.2394,68.9678,293.41,57,0,6.31,IN,1675100265
455,mikhaylovka,50.06,43.2379,274.14,98,99,3.86,RU,1675100235
456,tuy hoa,13.0833,109.3,292.11,81,100,3.46,VN,1675100266
457,belyy yar,53.6039,91.3903,266.09,82,98,1.0,RU,1675100267
458,porgera,-5.4667,143.2,280.02,98,100,0.59,PG,1675100267
459,baikunthpur,23.25,82.55,290.16,30,15,2.22,IN,1675100268
460,santa vitoria do palmar,-33.5189,-53.3681,301.39,55,49,3.99,BR,1675100268
461,namibe,-15.1961,12.1522,296.0,80,100,4.1,AO,1675100268
462,roma,43.2128,-75.4557,272.64,86,100,0.0,US,1675100269
463,novyy urengoy,66.0833,76.6333,256.63,95,100,5.95,RU,1675100151
464,santiago de cao,-7.9589,-79.2392,295.22,78,20,3.6,PE,1675100269
465,peace river,56.2501,-117.286,261.32,85,75,1.54,CA,1675100208
466,filadelfia,39.9523,-75.1638,284.94,76,94,0.89,US,1675099979
467,paita,-5.0892,-81.1144,300.08,59,52,4.53,PE,1675100270
468,calgary,51.0501,-114.0853,264.68,85,100,2.68,CA,1675099614
469,doha,25.2867,51.5333,291.09,63,0,4.63,QA,1675100009
470,punta de piedra,7.6176,-71.4916,307.36,27,17,2.11,VE,1675100271
471,port said,31.2565,32.2841,289.51,59,3,9.31,EG,1675100272
472,da nang,16.0678,108.2208,290.14,77,75,0.0,VN,1675100272
473,ostersund,63.1792,14.6357,272.93,93,20,10.8,SE,1675100235
474,mbandaka,0.0487,18.2603,297.77,79,75,0.54,CD,1675100273
475,qui nhon,13.7667,109.2333,292.01,78,100,5.36,VN,1675100273
476,bukachacha,52.9833,116.9167,250.31,100,100,0.88,RU,1675100274
477,batticaloa,7.7102,81.6924,297.88,88,96,5.49,LK,1675100274
478,karangampel,-6.4622,108.4519,298.75,86,100,3.35,ID,1675100274
479,qarchi gak,37.04,66.7889,279.62,73,100,4.46,AF,1675100275
480,hornepayne,49.2138,-84.7705,252.61,81,64,3.32,CA,1675100275
481,camocim,-2.9022,-40.8411,300.35,76,40,5.45,BR,1675100276
482,upata,8.0086,-62.3989,302.15,30,5,1.9,VE,1675100277
483,west wendover,40.7391,-114.0733,263.71,62,0,2.06,US,1675100277
484,bone,51.9669,12.1396,279.2,78,97,9.65,DE,1675100277
485,maryborough,-25.5333,152.7,296.02,78,100,1.16,AU,1675100278
486,ovalle,-30.5983,-71.2003,302.33,37,0,3.78,CL,1675100278
487,zaragoza,41.6561,-0.8773,282.4,57,0,6.69,ES,1675100221
488,cherskiy,68.75,161.3,264.44,85,100,2.87,RU,1675100279
489,yumen,40.2833,97.2,267.79,27,77,4.18,CN,1675100279
490,bokoro,12.3807,17.0568,304.81,10,4,3.37,TD,1675100280
491,kalanguy,51.0167,116.5167,252.65,100,100,1.21,RU,1675100280
492,dukat,62.55,155.55,246.74,97,100,2.92,RU,1675100280
493,la rioja,42.25,-2.5,275.03,89,6,2.13,ES,1675100281
494,dawlatabad,36.4141,64.9053,278.64,65,100,3.03,AF,1675100281
495,pangnirtung,66.1451,-65.7125,238.15,68,75,1.03,CA,1675100282
496,yamada,39.4667,141.95,270.91,69,41,2.75,JP,1675100282
497,fort myers beach,26.452,-81.9481,303.18,64,0,4.63,US,1675100229
498,agoura hills,34.1364,-118.7745,282.81,85,98,4.02,US,1675100283
499,berlevag,70.8578,29.0864,273.04,93,100,3.6,NO,1675100284
500,rusape,-18.5278,32.1284,291.16,81,99,3.17,ZW,1675100284
501,mujiayingzi,42.1167,118.7833,262.89,78,1,2.89,CN,1675100285
502,gornji milanovac,44.0333,20.45,273.2,84,99,1.49,RS,1675100285
503,cockburn town,21.4612,-71.1419,298.4,69,1,9.18,TC,1675099995
504,khorixas,-20.3667,14.9667,299.04,34,66,6.95,NA,1675100286
505,konakovo,56.7,36.7667,271.56,93,100,6.64,RU,1675100287
506,saldanha,-33.0117,17.9442,301.18,81,8,3.69,ZA,1675100287
507,pangkalanbuun,-2.6833,111.6167,296.56,99,96,0.98,ID,1675100288
508,port augusta,-32.5,137.7667,292.56,69,1,5.63,AU,1675100289
509,mustafabad,30.8922,73.4989,284.38,84,0,2.27,PK,1675100289
510,la ronge,55.1001,-105.2842,249.29,64,0,5.66,CA,1675100290
511,tiquicheo,18.8833,-100.7333,306.12,22,0,1.63,MX,1675100131
512,borovoy,55.4333,86.0833,264.75,86,100,2.0,RU,1675100291
513,carbonia,39.1672,8.5222,283.68,75,16,5.52,IT,1675100285
514,harrisonburg,38.4496,-78.8689,286.67,67,75,2.96,US,1675100291
515,srednekolymsk,67.45,153.6833,254.06,98,100,3.66,RU,1675100292
516,nerang,-27.9833,153.3333,296.95,95,100,0.45,AU,1675100292
517,andenes,69.3143,16.1194,272.0,93,75,1.54,NO,1675100293
518,ambulu,-8.345,113.6058,298.04,89,100,1.14,ID,1675100294
519,murgab,37.4966,61.9714,279.08,70,100,2.06,TM,1675100294
520,marawi,7.9986,124.2928,293.32,96,92,0.5,PH,1675100295
521,santa cruz,-17.8,-63.1667,300.18,74,75,6.17,BO,1675100293
522,paracuru,-3.41,-39.0306,300.43,61,21,5.81,BR,1675100295
523,mokhsogollokh,61.4681,128.9203,226.68,100,60,0.34,RU,1675100166
524,werota,11.9167,37.7,295.78,31,58,4.17,ET,1675100296
525,manicore,-5.8092,-61.3003,304.12,66,20,2.57,BR,1675100297
